gene,log2FoldChange,pvalue,DegreeCentrality,EigenvectorCentrality,neg_log10_p,PriorityScore
EGR1,0.7574588087939298,6.221199186549317e-07,0.5714285714285714,0.3512998288482578,6.2061258934597126,2.1215084724981406
BDNF,0.6663160108834698,3.3584185016830614e-07,0.5714285714285714,0.34672397976872465,6.4738651862066705,1.9270064396465791
FOS,0.673305184842222,2.253703642848905e-06,0.5714285714285714,0.346820156755086,5.647103193319779,1.6989102608756064
CREB1,0.7139992476060213,8.678497952809017e-06,0.5714285714285714,0.3477242065281095,5.061555434645516,1.6180514509522819
ARC,0.5903027393059608,3.391559374915067e-05,0.5714285714285714,0.34542432384848076,4.469600575481677,1.1752153146250288
SYN1,0.30691971891142167,7.985747009549437e-05,0.5714285714285714,0.3374216644819588,4.0976844524809035,0.5501278006899443
GRIN2B,0.25451328428231035,2.1230770723307944e-05,0.5714285714285714,0.3451158148823937,4.6730342397103986,0.5293981792493782
PSD95,0.2467127541164884,0.0006024933993155171,0.5,0.3033589971665295,3.2200477066892774,0.32043921273972326
MAPK1,0.1239385190867277,0.009454164603447937,0.5,0.2662172367728233,2.024376840604416,0.09188327030744232
GRIN1,0.030426878554639103,0.5017233472885612,0.0,2.6530934291298206e-09,0.2995356889609532,0.0009113936272596312
AKT1,0.03600015234687426,0.6258703937514357,0.07142857142857142,5.299879474905713e-07,0.20351559187934593,0.0007326631142676958
JUN,0.024746199386056933,0.5663265019851798,0.0,2.6530934291298206e-09,0.246933114522837,0.000611065624912357
MTOR,0.017654433966463046,0.7993138751187268,0.0,2.6530934291298206e-09,0.09728264813959692,0.00017174701332292589
CAMK2A,-0.010743873196188414,0.9004089874880552,0.0,2.6530934291298206e-09,0.04556017871262338,4.894927958708091e-05
NTRK2,0.007977649334995007,0.8736368805049282,0.07142857142857142,5.299879474905713e-07,0.05866904054856736,4.680435128781341e-05
